vertical,company,anchor_ingen_product,hq,founded,priority,website,tagline,top_claims,target_customer,partnerships,recent_signal,selection_reason,retrieved
Eldercare,Intuition Robotics (ElliQ),Fari,"Palo Alto, CA, USA",2016,High,elliq.com,Proactive AI care companion for older adults,Companionship; proactive engagement; wellness check-ins; caregiver app (ElliQ Caregiver Solution),Older adults aging in place; families; aging-services agencies; care organizations,"State aging agencies (e.g., NY State Office for the Aging deployment); Toyota (Woven Capital investor)",ElliQ 3 with generative AI; ElliQ Caregiver Solution launched Jan 2025,Closest direct peer to Fari on eldercare companionship and social engagement; same tabletop companion form factor.,2026-05-31
Eldercare,Labrador Systems,Fari,"Calabasas, CA, USA",2017,High,labradorsystems.com,Assistive home robot for everyday independence,Mobile assistive robot; household item transport; independence support; caregiver-burden reduction,"Older adults, people with mobility limitations, caregivers",Amazon Alexa Fund (investor); healthcare/assistive-technology ecosystem references,Labrador Retriever positioned around physical assistance vs conversation-first companionship,"Eldercare peer attacking the same demographic from a physical-assistance angle, complementary to Fari's engagement focus.",2026-05-31
Eldercare,OhmniLabs,Fari,"Santa Clara, CA, USA",2015,Medium,ohmnilabs.com,Telepresence robots connecting people remotely,Telepresence; remote family/clinician connection; autonomous navigation,Seniors in assisted living; families; healthcare providers,Healthcare and senior-living channel references,Telepresence positioning adjacent to eldercare connection use cases,"Relevant to Fari's connection/engagement dimension via remote-presence, a different technical path to the same loneliness problem.",2026-05-31
Education,Miko (Emotix),Senpai,"Mumbai, India",2015,High,miko.ai,AI learning companion robot for children,Conversational learning; child engagement; educational content ecosystem,"Children, parents, families, learning platforms",Content and app ecosystem; consumer retail distribution,Consumer-facing learning robot positioned around children and education,Direct peer for Senpai on AI learning companion and child-facing robotics; strongest consumer-education overlap.,2026-05-31
Education,UBTECH Robotics,Senpai,"Shenzhen, China",2012,High,ubtrobot.com,AI and humanoid robotics across education and service,Humanoid + educational robot kits; AI curriculum; school programs; full-stack IP,"Schools, robotics labs, STEM programs; also service/humanoid markets",DeepSeek partnership (Feb 2025) for embodied reasoning models; public on HKEX,"Walker humanoid series; 2,100+ patents; bridges education and humanoid",Comparator for Senpai where education robotics meets a deep humanoid/AI portfolio and very strong IP.,2026-05-31
Education,LEGO Education,Senpai,"Billund, Denmark",1980,Medium,education.lego.com,Hands-on STEAM learning through LEGO systems,Classroom robotics; curriculum-aligned learning; teacher resources,"K-12 schools, teachers, districts, STEM programs",Worldwide school and curriculum distribution; part of LEGO Group,Established SPIKE Prime / education robotics line with deep classroom channel,"Incumbent benchmark for Senpai on classroom procurement, curriculum integration and brand trust.",2026-05-31
Indoor Security,Knightscope,Sentinel Prime AI,"Sunnyvale, CA, USA",2013,High,knightscope.com,Autonomous security robots and public-safety technology,Autonomous patrol (ASR); security monitoring; emergency communication devices; MaaS,"Commercial facilities, campuses, property owners, public safety",Authorized provider/integrator network; public company (NASDAQ: KSCP),K7 outdoor ASR unveiled Nov 2025; continued MaaS subscription growth,Direct peer for Sentinel Prime AI and Aido Rover; most visible public-market security-robotics comparable.,2026-05-31
Indoor Security,Cobalt Robotics,Sentinel Prime AI,"San Mateo, CA, USA",2016,High,cobaltrobotics.com,Indoor security robots as a service with human-in-the-loop,Indoor patrol; anomaly detection; remote human specialists; access/badge checks,"Offices, enterprise facilities, security teams","Sequoia, Coatue, Bloomberg Beta (investors)",Human-in-the-loop robot security service model; ~$51M raised,Closest indoor-security analogue to Sentinel Prime AI; the human-in-the-loop model is a useful contrast point.,2026-05-31
Indoor Security,RAD (AITX),Sentinel Prime AI,"Ferndale, MI, USA",2016,Medium,roboticassistancedevices.com,AI-driven security devices and autonomous response,ROAMEO/SCOT/ROSA security devices; guarding and response; subscription model,"Security integrators, facilities, enterprises",Public parent Artificial Intelligence Technology Solutions (OTC: AITX),Broad device portfolio for guarding/response; recurring-revenue push,Security-hardware breadth comparable to InGen's security ambitions; public micro-cap with disclosure to mine.,2026-05-31
Outdoor Patrol,Asylon Robotics,Aido Rover,"Philadelphia, PA, USA",2015,High,asylonrobotics.com,Drone + ground robotics for perimeter security,DroneDog quadruped; dock-launched drones; automated perimeter operations,"Critical infrastructure, campuses, industrial sites",DoD-adjacent and enterprise security references,Series B ~$26M (Jul 2025); combines ground robotics and drone docking,Closest peer to Aido Rover on outdoor perimeter security; multi-modal (ground+air) is a strategic contrast.,2026-05-31
