vertical,product,theme_id,top_terms,size,example_1,example_2,example_3,mode
eldercare,Fari,1,"wifi, setup, elderly, setup confusing, keeps, disconnecting home",3,Setup was confusing and the app keeps disconnecting from the home wifi.,It fell off the table and broke; build quality feels fragile for elderly use.,Setup needed my grandson; the wifi pairing kept failing for elderly users.,sample
eldercare,Fari,2,"volume, volume low, low, low hard, hearing, hard hearing",2,"Speaker volume is too low for hard-of-hearing users, a real accessibility miss.","Volume is too low for hard-of-hearing relatives, an accessibility gap.",,sample
eldercare,Fari,3,"voice, mother, tv, voice prompts, mother tv, prompts",2,"My mother loves talking to it, though the voice recognition fails when she speaks softly.","Voice prompts are clear, yet it mishears my mother when the TV is on.",,sample
eldercare,Fari,4,"unit, unit dead, mornings unit, mornings, charging, dock",2,Lovely idea but customer support was slow and we had to return one unit.,Charging dock is finicky and some mornings the unit is dead.,,sample
eldercare,Fari,5,"screen, calls, check, subscription, device, reminders",11,The companion robot is great for reminders but the battery drains by midday and it stops responding.,Wheels get stuck on carpet and it cannot navigate the hallway on its own.,"Very helpful for medication reminders, but it is too expensive for what it does.",sample
education,Senpai,1,"students, kids, units, parts, durable, needs",9,Customer service was slow when two units stopped charging.,"Kids love building with it, but the curriculum content runs out quickly.",Setup across 30 tablets is painful and the bluetooth pairing keeps dropping.,sample
education,Senpai,2,"classroom, unclear, licensing, great, noise level, fun noise",5,Pairing across a classroom set of tablets is unreliable and drops often.,"Great STEM tool, however the app crashes during multi-student classroom sessions.","Engaging for coding lessons, but it is expensive per classroom and licensing is unclear.",sample
education,Senpai,3,"school day, school, day, battery, short school, short",2,Battery life is short so we cannot get through a full school day.,Battery does not last a full school day so lessons get interrupted.,,sample
education,Senpai,4,"updates, plans, firmware, firmware updates, lesson, lesson plans",2,Firmware updates broke our saved lesson plans last term.,Lots of potential but firmware updates break existing lesson plans.,,sample
education,Senpai,5,"teacher, teacher dashboard, reporting, dashboard, hard interpret, reporting teacher",2,Teacher dashboard is confusing and reporting on student progress is limited.,Reporting in the teacher dashboard is thin and hard to interpret.,,sample
indoor_security,Sentinel Prime AI,1,"frequent, intruder alerts, team, false intruder, intruder, alerts",5,Cuts our guard costs but the robot gets stuck at thresholds and needs help.,"Great deterrent presence, but battery requires frequent docking and downtime.",False intruder alerts at night are frequent and annoying for the team.,sample
indoor_security,Sentinel Prime AI,2,"service, service fee, monthly service, fee, fee expensive, monthly",2,Reliable indoors but the monthly service fee is very expensive.,Monthly service fee is expensive relative to the coverage.,,sample
indoor_security,Sentinel Prime AI,3,"slow, support, slow clunky, sensor module, sensor, dashboard",5,Support response was slow when the sensor module failed.,Support was slow to replace a failed sensor module.,"Useful logs and reports, though the dashboard is slow and clunky.",sample
indoor_security,Sentinel Prime AI,4,"floors, integration, multiple floors, fails, elevator, elevator integration",5,Elevator integration fails so it cannot cover multiple floors on its own.,Elevator integration fails so it cannot patrol multiple floors alone.,Integration with our access-control system was difficult and poorly documented.,sample
indoor_security,Sentinel Prime AI,5,"good, struggles, struggles low, light, low, camera struggles",3,"Night patrol coverage is good, however the camera struggles in low light.","Good ROI versus a human guard, but upfront deployment cost is high.",Camera struggles in low light despite good daytime performance.,sample
outdoor_patrol,Aido Rover,1,"wheel module, wheel, replacement, module, maintenance frequent, maintenance",3,Support was slow to ship a replacement wheel module.,"Handles weather better than expected, but maintenance is frequent.",Maintenance is frequent and a wheel module replacement took weeks.,sample
outdoor_patrol,Aido Rover,2,"upfront cost, upfront, small, hard, hard justify, justify",2,"Great visibility deterrent, however upfront cost is hard to justify for small sites.",Upfront cost is hard to justify for a small site.,,sample
outdoor_patrol,Aido Rover,3,"route, drifts near, buildings, gps, gps drifts, loses",2,"Good for large sites, however GPS drifts near buildings and it loses its route.",GPS drifts near tall buildings and the robot loses its patrol route.,,sample
outdoor_patrol,Aido Rover,4,"setup, confusing, confusing documentation, documentation, patrol, stops",10,"Covers the perimeter well, but rain and mud cause it to get stuck.","Reduced our patrol headcount, yet the service contract is expensive.",Connectivity drops in far corners of the yard and it stops reporting.,sample
outdoor_patrol,Aido Rover,5,"shadows, positives animals, animals, false positives, false, positives",3,Thermal camera is useful at night but the battery dies on long patrols.,"Useful alerts, but too many false positives from animals and shadows.",Too many false positives from animals and moving shadows at night.,sample
humanoid,Aido Humanoid,1,"needs, noisy, shifts, overheats, roi, unclear",11,Impressive demo but in practice it is slow and frequently needs a human to reset it.,Extremely expensive and the ROI is unclear for our facility right now.,"Good for lifting, though it is noisy and overheats during long shifts.",sample
humanoid,Aido Humanoid,2,"mes, documented, integration mes, integration, poorly, poorly documented",2,Integration with our MES was difficult and poorly documented.,Integration with our MES was poorly documented and slow.,,sample
humanoid,Aido Humanoid,3,"parts, unreliable irregular, unreliable, grip unreliable, drops, parts drops",3,Grip is unreliable on irregular parts and it drops items.,Grip is unreliable on irregular parts and it drops items.,Support is responsive but spare parts have long lead times.,sample
humanoid,Aido Humanoid,4,"updates break, updates, software buggy, software, buggy, calibration",2,"Hardware feels solid, but the software is buggy and updates break calibration.",Software is buggy and updates break calibration.,,sample
humanoid,Aido Humanoid,5,"swapping, short, battery runtime, battery, line, runtime short",2,Battery runtime is short and swapping is awkward on the line.,Battery runtime is short and hot-swapping on the line is awkward.,,sample
